2025-01-26T17:14:52+01:00;;;39,4;7,5;20,3;;0,0;16,5;80,0;10,4;38,8;37,1;13,7;6,7;73,0;4,9;;38,0;;41,0;20,5;;9,7;14,0;3,6;7,9;0;128;1;184;65;10;50;16;3;0
2025-01-27T14:32:32+01:00;;;39,8;12,6;21,2;;0,0;0,0;80,0;21,2;29,5;21,8;17,6;17,0;39,2;16,3;;0,0;;41,0;20,5;;-3,1;37,8;16,6;12,2;0;132;1;32;64;0;0;0;3;0
2025-01-27T14:36:40+01:00;;;39,6;12,7;21,2;;0,0;0,0;80,0;21,1;29,4;21,7;17,7;17,0;39,0;16,4;;0,0;;41,0;20,5;;-3,1;37,7;16,6;12,2;0;132;1;32;64;0;0;0;3;0;273;659
